,group,variable,month,TOTAL 6.3 CONTROL DEL NIÑO (A) DE 2 AÑOS A MENOR DE 5 AÑOS NUEVO,TOTAL 6.3 CONTROL DEL NIÑO (A) DE 2 AÑOS A MENOR DE 5 AÑOS NUEVO,TOTAL 6.3 CONTROL DEL NIÑO (A) DE 2 AÑOS A MENOR DE 5 AÑOS REPETIDO,TOTAL 6.3 CONTROL DEL NIÑO (A) DE 2 AÑOS A MENOR DE 5 AÑOS REPETIDO,TOTALES,TOTALES,TOTALES
MOCOMOCO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,8,4,84,89,92,93,185
MOJINETE,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,0,2,7,4,7,6,13
MOJOCOYA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,7,22,93,120,100,142,242
MONTEAGUDO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,35,30,230,195,265,225,490
MONTERO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,224,207,615,634,839,841,1680
MORO MORO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,0,2,13,19,13,21,34
MOROCHATA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,15,15,149,161,164,176,340
NACEBE (SANTA ROSA DEL ABUNA),control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,6,1,18,15,24,16,40
NAZACARA DE PACAJES,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,0,0,10,7,10,7,17
NUEVO MANOA (NUEVA ESPERANZA),control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,2,4,64,38,66,42,108
OCURI,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,8,7,136,115,144,122,266
OKINAWA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,9,5,105,116,114,121,235
OMEREQUE,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,11,4,65,59,76,63,139
ORURO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,289,277,945,946,1234,1223,2457
PADCAYA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,16,17,140,151,156,168,324
PADILLA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,5,9,183,185,188,194,382
PAILON,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,16,13,143,121,159,134,293
PALCA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,14,11,78,79,92,90,182
PALOS BLANCOS,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,26,27,278,262,304,289,593
PAMPA AULLAGAS,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,0,2,21,20,21,22,43
PAMPA GRANDE,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,7,4,28,32,35,36,71
PAPEL PAMPA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,5,2,86,46,91,48,139
PASORAPA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,1,3,25,43,26,46,72
PATACAMAYA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,3,2,74,103,77,105,182
PAZÑA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,8,9,67,65,75,74,149
PELECHUCO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,4,5,67,53,71,58,129
POCOATA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,26,21,166,158,192,179,371
POCONA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,10,4,101,90,111,94,205
POJO (CBBA),control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,16,8,121,92,137,100,237
POOPO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,2,4,32,36,34,40,74
PORCO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,2,3,50,58,52,61,113
POROMA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,13,12,205,189,218,201,419
PORONGO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,21,19,61,55,82,74,156
PORTACHUELO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,2,5,40,41,42,46,88
PORVENIR,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,3,10,63,66,66,76,142
POSTRER VALLE,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,1,2,14,13,15,15,30
POTOSI,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,238,198,438,433,676,631,1307
PRESTO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,2,6,141,124,143,130,273
PUCARA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,2,1,20,34,22,35,57
PUCARANI,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,16,18,106,138,122,156,278
PUERTO ACOSTA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,6,6,47,40,53,46,99
PUERTO CARABUCO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,9,10,91,87,100,97,197
PUERTO GONZALO MORENO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,4,10,99,93,103,103,206
PUERTO PEREZ,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,2,2,58,41,60,43,103
PUERTO QUIJARRO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,15,16,64,56,79,72,151
PUERTO RICO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,20,29,86,98,106,127,233
PUERTO SILES,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,0,1,3,3,3,4,7
PUERTO SUAREZ,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,65,51,25,24,90,75,165
PUERTO VILLARROEL,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,46,48,438,369,484,417,901
PUNA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,11,17,142,149,153,166,319
PUNATA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,26,26,116,106,142,132,274
QUIABAYA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,1,0,20,25,21,25,46
QUILLACOLLO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,550,533,1082,962,1632,1495,3127
QUIME,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,10,4,75,64,85,68,153
QUIRUSILLAS,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,0,0,10,10,10,10,20
RAVELO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,28,27,196,221,224,248,472
REYES,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,1,1,72,81,73,82,155
RIBERALTA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,170,160,519,566,689,726,1415
ROBORE,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,2,2,89,60,91,62,153
RURRENABAQUE,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,0,3,63,51,63,54,117
SABAYA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,5,6,24,22,29,28,57
SACABA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,107,116,687,660,794,776,1570
SACABAMBA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,2,2,32,28,34,30,64
SACACA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,5,10,140,132,145,142,287
SAIPINA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,0,0,38,26,38,26,64
SALINAS DE GARCI MENDOZA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,13,16,137,140,150,156,306
SAMAIPATA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,12,13,58,52,70,65,135
SAN AGUSTIN,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,4,5,18,12,22,17,39
SAN ANDRES,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,7,7,90,77,97,84,181
SAN ANDRES DE MACHACA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,2,4,19,18,21,22,43
SAN ANTONIO DE ESMORUCO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,2,0,6,7,8,7,15
SAN ANTONIO DE LOMERIO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,21,15,143,159,164,174,338
SAN BENITO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,16,11,89,79,105,90,195
SAN BORJA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,1,2,403,377,404,379,783
SAN BUENA VENTURA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,3,7,54,52,57,59,116
SAN CARLOS,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,26,16,135,121,161,137,298
SAN IGNACIO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,64,84,259,253,323,337,660
SAN IGNACIO DE VELASCO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,109,97,473,491,582,588,1170
SAN JAVIER(BNI),control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,24,14,18,12,42,26,68
SAN JAVIER(STC),control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,23,13,50,57,73,70,143
SAN JOAQUIN,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,2,2,31,38,33,40,73
SAN JOSE DE CHIQUITOS,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,57,56,37,31,94,87,181
SAN JUAN DE YAPACANI,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,9,14,26,28,35,42,77
SAN JULIAN,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,37,49,313,329,350,378,728
SAN LORENZO(PND),control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,0,0,20,21,20,21,41
SAN LORENZO(TJA),control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,19,19,162,181,181,200,381
SAN LUCAS,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,42,86,561,543,603,629,1232
SAN MATIAS,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,1,6,76,55,77,61,138
SAN MIGUEL DE VELASCO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,21,16,126,96,147,112,259
SAN PABLO DE LIPEZ,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,1,3,9,9,10,12,22
SAN PEDRO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,13,11,114,105,127,116,243
SAN PEDRO DE BUENA VISTA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,15,18,236,231,251,249,500
SAN PEDRO DE CURAHUARA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,0,4,32,28,32,32,64
SAN PEDRO DE QUEMES,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,2,1,2,1,4,2,6
SAN PEDRO DE TIQUINA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,3,5,35,37,38,42,80
SAN PEDRO(PND),control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,1,1,24,14,25,15,40
SAN RAFAEL,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,14,20,39,25,53,45,98
SAN RAMON BENI,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,0,0,47,23,47,23,70
SAN RAMON SCZ,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,21,15,33,30,54,45,99
SANTA ANA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,74,67,17,27,91,94,185
SANTA CRUZ DE LA SIERRA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,1295,1260,2451,2400,3746,3660,7406
SANTA ROSA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,0,0,59,90,59,90,149
SANTA ROSA DEL SARA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,32,33,64,70,96,103,199
SANTIAGO DE CALLAPA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,1,2,9,13,10,15,25
SANTIAGO DE HUARI,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,8,2,74,71,82,73,155
SANTIAGO DE HUATA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,0,2,34,31,34,33,67
SANTIAGO DE MACHACA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,4,0,18,26,22,26,48
SANTIVAÑES,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,1,3,53,47,54,50,104
SANTUARIO DE QUILLACAS,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,8,2,30,32,38,34,72
SAPAHAQUI,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,4,2,54,57,58,59,117
SENA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,5,11,27,9,32,20,52
SHINAOTA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,26,29,256,220,282,249,531
SICA SICA (VILLA AROMA),control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,14,11,149,167,163,178,341
SICAYA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,3,4,44,22,47,26,73
SIPE SIPE,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,39,49,268,250,307,299,606
SOPACHUY,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,6,8,86,91,92,99,191
SORACACHI,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,2,6,122,104,124,110,234
SORATA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,8,4,129,108,137,112,249
SUCRE,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,338,314,2236,2161,2574,2475,5049
TACACHI,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,1,0,4,11,5,11,16
TACACOMA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,6,7,34,17,40,24,64
TACOBAMBA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,2,4,59,46,61,50,111
TACOPAYA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,3,4,78,76,81,80,161
TAHUA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,1,3,3,7,4,10,14
TAPACARI,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,19,24,278,232,297,256,553
TARABUCO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,11,12,210,191,221,203,424
TARACO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,2,3,27,14,29,17,46
TARATA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,9,5,45,36,54,41,95
TARIJA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,581,499,931,861,1512,1360,2872
TARVITA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,4,10,214,219,218,229,447
TEOPONTE,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,19,18,97,97,116,115,231
TIAWANACU,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,9,8,85,78,94,86,180
TINGUIPAYA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,29,14,83,85,112,99,211
TIPUANI,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,2,2,102,97,104,99,203
TIQUIPAYA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,112,101,467,431,579,532,1111
TIRAQUE (CBBA),control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,15,13,91,92,106,105,211
TITO YUPANQUI (PARQUIPUJIO),control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,1,0,4,6,5,6,11
TOCO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,7,6,54,50,61,56,117
TOLATA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,23,19,70,53,93,72,165
TOLEDO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,0,2,34,29,34,31,65
TOMAVE,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,14,10,78,75,92,85,177
TOMINA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,6,4,206,208,212,212,424
