municipality,group,variable,month,Total 11.7 Mujeres con primer control post parto,TOTAL
CORIPATA,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,9,9
CORO CORO,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,6,6
COROICO,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,40,40
CORQUE,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,4,4
COTAGAITA,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,14,14
COTOCA,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,38,38
CUATRO CAÑADAS,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,17,17
CUCHUMUELA (V. G. VILLARROEL),atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,2,2
CUEVO,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,7,7
CULPINA,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,17,17
CURAHUARA DE CARANGAS,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,5,5
CURVA,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,6,6
DESAGUADERO,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,6,6
EL ALTO,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,722,722
EL CHORO,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,11,11
EL PUENTE(STC),atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,10,10
EL PUENTE(TJA),atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,11,11
EL TORNO,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,67,67
EL VILLAR,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,4,4
ENTRE RIOS TRJ,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,28,28
ENTRE RIOS CBBA,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,18,18
ESCOMA,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,6,6
EUCALIPTUS,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,6,6
EUREKA (SANTOS MERCADO),atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,1,1
EXALTACION,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,1,1
FERNANDEZ ALONSO,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,10,10
FILADELFIA,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,4,4
GENERAL SAAVEDRA,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,15,15
GRAL. J.J. PEREZ (CHARAZANI),atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,15,15
GUANAY,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,14,14
GUAQUI,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,4,4
GUAYARAMERIN,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,19,19
GUTIERREZ,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,13,13
HUACARETA,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,5,5
HUACAYA (VILLA DE HUACAYA),atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,6,6
HUANUNI,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,33,33
HUARACAJE,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,3,3
HUARINA,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,3,3
HUATAJATA,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,1,1
HUAYLLAMARCA,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,2,2
HUMANATA,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,6,6
ICHOCA,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,6,6
ICLA,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,11,11
INCAHUASI,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,19,19
INQUISIVI,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,16,16
IRUPANA (VILLA DE LANZA),atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,16,16
IXIAMAS,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,5,5
JESUS DE MACHACA,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,21,21
LA ASUNTA,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,79,79
LA GUARDIA,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,53,53
LA PAZ,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,1300,1300
LAGUNILLAS,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,3,3
LAJA,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,22,22
LAS CARRERAS,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,2,2
LLALLAGUA,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,18,18
LLICA,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,6,6
LORETO,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,1,1
LURIBAY,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,9,9
MACHACAMARCA,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,4,4
MACHARETI,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,6,6
MAGDALENA,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,25,25
MAIRANA,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,23,23
MALLA,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,1,1
MAPIRI,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,23,23
MECAPACA,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,8,8
MINEROS,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,12,12
MIZQUE,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,41,41
MOCOMOCO,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,26,26
MOJOCOYA,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,11,11
MONTEAGUDO,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,9,9
MONTERO,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,119,119
MORO MORO,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,1,1
MOROCHATA,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,15,15
NACEBE (SANTA ROSA DEL ABUNA),atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,1,1
NUEVO MANOA (NUEVA ESPERANZA),atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,1,1
OCURI,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,21,21
OKINAWA,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,15,15
OMEREQUE,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,4,4
ORURO,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,625,625
PADCAYA,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,6,6
PADILLA,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,13,13
PAILON,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,20,20
PALCA,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,17,17
PALOS BLANCOS,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,28,28
PAMPA AULLAGAS,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,6,6
PAMPA GRANDE,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,10,10
PAPEL PAMPA,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,5,5
PATACAMAYA,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,22,22
PAZÑA,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,9,9
PELECHUCO,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,7,7
POCOATA,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,44,44
POCONA,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,15,15
POJO (CBBA),atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,20,20
POOPO,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,5,5
PORCO,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,12,12
POROMA,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,23,23
PORONGO,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,8,8
PORTACHUELO,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,38,38
PORVENIR,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,1,1
POSTRER VALLE,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,2,2
POTOSI,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,159,159
PRESTO,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,7,7
PUCARA,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,1,1
PUCARANI,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,38,38
PUERTO ACOSTA,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,7,7
PUERTO CARABUCO,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,11,11
PUERTO GONZALO MORENO,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,7,7
PUERTO PEREZ,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,7,7
PUERTO QUIJARRO,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,15,15
PUERTO RICO,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,10,10
PUERTO SUAREZ,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,46,46
PUERTO VILLARROEL,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,73,73
PUNA,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,25,25
PUNATA,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,4,4
QUIABAYA,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,6,6
QUILLACOLLO,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,104,104
QUIME,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,12,12
RAVELO,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,9,9
REYES,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,30,30
RIBERALTA,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,283,283
ROBORE,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,6,6
RURRENABAQUE,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,5,5
SABAYA,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,3,3
SACABA,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,126,126
SACABAMBA,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,3,3
SACACA,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,26,26
SAIPINA,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,10,10
SALINAS DE GARCI MENDOZA,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,14,14
SAMAIPATA,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,10,10
SAN AGUSTIN,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,2,2
SAN ANDRES,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,9,9
SAN ANDRES DE MACHACA,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,4,4
SAN ANTONIO DE LOMERIO,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,6,6
SAN BENITO,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,8,8
SAN BORJA,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,83,83
SAN BUENA VENTURA,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,11,11
SAN CARLOS,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,41,41
SAN IGNACIO,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,37,37
SAN IGNACIO DE VELASCO,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,115,115
