municipality,group,variable,month,Total 13.8 Días camas ocupadas otros servicios,TOTAL
CHULUMANI (V. DE LA LIBERTAD),internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,250,250
CHUMA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,1,1
CLIZA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,126,126
COBIJA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,1943,1943
COCAPATA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,2,2
COCHABAMBA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,31494,31494
COLCAPIRHUA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,182,182
"COLCHA ""K""",internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,3,3
COLPA BELGICA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,80,80
COLQUIRI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,2,2
COMARAPA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,162,162
CONCEPCION,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,82,82
COPACABANA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,3,3
COROICO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,480,480
CORQUE,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,10,10
COTAGAITA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,3,3
COTOCA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,215,215
CUATRO CAÑADAS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,67,67
CUEVO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,35,35
CULPINA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,30,30
EL ALTO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,7945,7945
EL PUENTE(STC),internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,34,34
EL TORNO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,1193,1193
EL VILLAR,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,3,3
ENTRE RIOS TRJ,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,86,86
ENTRE RIOS CBBA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,10,10
ESCOMA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,53,53
EUCALIPTUS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,1,1
EXALTACION,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,6,6
FERNANDEZ ALONSO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,56,56
GENERAL SAAVEDRA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,73,73
GRAL. J.J. PEREZ (CHARAZANI),internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,2,2
GUAYARAMERIN,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,1194,1194
GUTIERREZ,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,80,80
HUACARETA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,139,139
HUACAYA (VILLA DE HUACAYA),internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,4,4
HUANUNI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,594,594
HUARACAJE,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,22,22
HUAYLLAMARCA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,6,6
ICLA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,12,12
INCAHUASI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,12,12
INQUISIVI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,2,2
IRUPANA (VILLA DE LANZA),internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,67,67
IXIAMAS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,41,41
JESUS DE MACHACA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,9,9
LA ASUNTA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,28,28
LA GUARDIA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,134,134
LA PAZ,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,51493,51493
LAGUNILLAS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,6,6
LLALLAGUA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,539,539
MACHACAMARCA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,12,12
MACHARETI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,9,9
MAGDALENA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,278,278
MAIRANA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,64,64
MAPIRI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,22,22
MINEROS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,138,138
MIZQUE,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,80,80
MOJOCOYA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,3,3
MONTEAGUDO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,472,472
MONTERO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,2363,2363
MOROCHATA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,1,1
OKINAWA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,217,217
OMEREQUE,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,9,9
ORURO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,7189,7189
PADILLA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,249,249
PAILON,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,131,131
PALOS BLANCOS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,61,61
PAMPA GRANDE,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,13,13
PASORAPA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,14,14
PATACAMAYA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,26,26
POCOATA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,4,4
POJO (CBBA),internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,9,9
POROMA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,37,37
PORTACHUELO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,453,453
PORVENIR,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,26,26
POTOSI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,6212,6212
PRESTO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,18,18
PUCARANI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,4,4
PUERTO GONZALO MORENO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,6,6
PUERTO QUIJARRO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,102,102
PUERTO RICO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,88,88
PUERTO SILES,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,1,1
PUERTO SUAREZ,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,518,518
PUERTO VILLARROEL,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,639,639
PUNA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,6,6
PUNATA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,862,862
QUILLACOLLO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,95,95
QUIME,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,7,7
QUIRUSILLAS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,2,2
REYES,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,74,74
RIBERALTA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,2119,2119
ROBORE,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,218,218
RURRENABAQUE,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,454,454
SACABA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,885,885
SACACA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,8,8
SAIPINA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,3,3
SAMAIPATA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,58,58
SAN ANDRES,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,15,15
SAN ANTONIO DE LOMERIO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,21,21
SAN BENITO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,5,5
SAN BORJA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,103,103
SAN BUENA VENTURA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,40,40
SAN CARLOS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,375,375
SAN IGNACIO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,145,145
SAN IGNACIO DE VELASCO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,1116,1116
SAN JAVIER(BNI),internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,3,3
SAN JAVIER(STC),internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,103,103
SAN JOAQUIN,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,37,37
SAN JOSE DE CHIQUITOS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,332,332
SAN JUAN DE YAPACANI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,182,182
SAN JULIAN,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,369,369
SAN LORENZO(PND),internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,4,4
SAN LUCAS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,67,67
SAN MATIAS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,167,167
SAN MIGUEL DE VELASCO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,57,57
SAN PEDRO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,427,427
SAN PEDRO DE BUENA VISTA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,4,4
SAN RAFAEL,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,63,63
SAN RAMON BENI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,55,55
SAN RAMON SCZ,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,103,103
SANTA ANA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,326,326
SANTA CRUZ DE LA SIERRA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,41347,41347
SANTA ROSA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,58,58
SANTA ROSA DEL SARA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,4,4
SANTIAGO DE HUARI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,1,1
SANTUARIO DE QUILLACAS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,1,1
SAPAHAQUI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,1,1
SENA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,68,68
SHINAOTA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,190,190
SOPACHUY,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,34,34
SORATA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,24,24
SUCRE,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,26547,26547
TACOPAYA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,17,17
TAPACARI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,3,3
TARABUCO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,122,122
TARIJA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,10473,10473
TARVITA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,35,35
TIAWANACU,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,1,1
TIPUANI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,40,40
TIQUIPAYA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,201,201
TIRAQUE (CBBA),internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,1,1
TOLATA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,2,2
TOMINA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,6,6
TOTORA(CBBA),internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,37,37
TRIGAL,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,15,15
TRINIDAD,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,2823,2823
TUPIZA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,1372,1372
UNCIA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,2,2
URUBICHA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,21,21
UYUNI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,315,315
VALLEGRANDE,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,422,422
VIACHA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,370,370
VILLA CHARCAS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,30,30
VILLA MONTES,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,606,606
VILLA RIVERO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,11,11
VILLA SERRANO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,14,14
VILLA TUNARI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,830,830
VILLA VACA GUZMAN (MUYUPAMPA),internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,8,8
VILLAZON,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,645,645
VINTO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,237,237
WARNES,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,598,598
YACUIBA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,2178,2178
