,group,variable,month,NIÑOS DE 1 A 4 AÑOS NUEVO,NIÑOS DE 1 A 4 AÑOS NUEVO,NIÑOS DE 1 A 4 AÑOS REPETIDO,NIÑOS DE 1 A 4 AÑOS REPETIDO,NIÑOS DE 1 A 4 AÑOS PRIMERA,NIÑOS DE 1 A 4 AÑOS PRIMERA,TOTALES,TOTALES,TOTALES
VILLA NUEVA (LOMA ALTA),consulta externa,ninos  de 1 a 4 anos,2024-03-01,25,26,17,14,0,0,51,31,82
VILLA RIVERO,consulta externa,ninos  de 1 a 4 anos,2024-03-01,86,67,25,32,0,0,153,57,210
VILLA SERRANO,consulta externa,ninos  de 1 a 4 anos,2024-03-01,126,166,29,33,0,0,292,62,354
VILLA TUNARI,consulta externa,ninos  de 1 a 4 anos,2024-03-01,1867,1616,212,198,59,47,3483,410,3893
VILLA VACA GUZMAN (MUYUPAMPA),consulta externa,ninos  de 1 a 4 anos,2024-03-01,135,93,23,20,0,0,228,43,271
VILLAZON,consulta externa,ninos  de 1 a 4 anos,2024-03-01,255,232,21,26,113,109,487,47,534
VINTO,consulta externa,ninos  de 1 a 4 anos,2024-03-01,753,705,144,116,0,0,1458,260,1718
VITICHI,consulta externa,ninos  de 1 a 4 anos,2024-03-01,58,58,0,0,15,13,116,0,116
WALDO BALLIVIAN,consulta externa,ninos  de 1 a 4 anos,2024-03-01,11,15,15,23,0,0,26,38,64
WARNES,consulta externa,ninos  de 1 a 4 anos,2024-03-01,1595,1442,200,208,3,3,3037,408,3445
YACO,consulta externa,ninos  de 1 a 4 anos,2024-03-01,88,86,13,8,0,0,174,21,195
YACUIBA,consulta externa,ninos  de 1 a 4 anos,2024-03-01,1633,1524,186,195,343,299,3157,381,3538
YAMPARAEZ,consulta externa,ninos  de 1 a 4 anos,2024-03-01,79,80,16,22,4,7,159,38,197
YANACACHI,consulta externa,ninos  de 1 a 4 anos,2024-03-01,42,57,0,0,0,0,99,0,99
YAPACANI,consulta externa,ninos  de 1 a 4 anos,2024-03-01,598,603,65,62,55,45,1201,127,1328
YOCALLA,consulta externa,ninos  de 1 a 4 anos,2024-03-01,51,33,2,5,28,23,84,7,91
YOTALA,consulta externa,ninos  de 1 a 4 anos,2024-03-01,101,99,20,5,6,8,200,25,225
YUNCHARA,consulta externa,ninos  de 1 a 4 anos,2024-03-01,64,83,1,1,0,0,147,2,149
YUNGUYO DE LITORAL,consulta externa,ninos  de 1 a 4 anos,2024-03-01,4,3,0,0,0,0,7,0,7
ZUDAÑEZ,consulta externa,ninos  de 1 a 4 anos,2024-03-01,113,92,15,18,0,0,205,33,238
ACACIO,consulta externa,ninos  de 1 a 4 anos,2024-04-01,40,41,1,0,0,0,81,1,82
ACHACACHI,consulta externa,ninos  de 1 a 4 anos,2024-04-01,238,306,29,44,0,0,544,73,617
ACHOCALLA,consulta externa,ninos  de 1 a 4 anos,2024-04-01,274,236,97,95,0,0,510,192,702
AIQUILE,consulta externa,ninos  de 1 a 4 anos,2024-04-01,227,210,115,133,80,61,437,248,685
ALALAY,consulta externa,ninos  de 1 a 4 anos,2024-04-01,12,18,7,3,3,7,30,10,40
ALCALA,consulta externa,ninos  de 1 a 4 anos,2024-04-01,48,47,7,7,3,3,95,14,109
ALTO BENI,consulta externa,ninos  de 1 a 4 anos,2024-04-01,197,206,2,6,0,0,403,8,411
ANCORAIMES,consulta externa,ninos  de 1 a 4 anos,2024-04-01,59,46,20,24,16,9,105,44,149
ANDAMARCA,consulta externa,ninos  de 1 a 4 anos,2024-04-01,41,30,7,4,0,0,71,11,82
ANTEQUERA,consulta externa,ninos  de 1 a 4 anos,2024-04-01,23,26,5,4,0,0,49,9,58
ANZALDO,consulta externa,ninos  de 1 a 4 anos,2024-04-01,61,80,19,15,0,0,141,34,175
APOLO,consulta externa,ninos  de 1 a 4 anos,2024-04-01,174,151,83,80,17,15,325,163,488
ARAMPAMPA,consulta externa,ninos  de 1 a 4 anos,2024-04-01,29,28,1,0,0,0,57,1,58
ARANI,consulta externa,ninos  de 1 a 4 anos,2024-04-01,92,103,12,9,6,3,195,21,216
ARBIETO,consulta externa,ninos  de 1 a 4 anos,2024-04-01,411,400,21,30,32,14,811,51,862
ARQUE,consulta externa,ninos  de 1 a 4 anos,2024-04-01,153,109,1,1,0,0,262,2,264
ASCENCION DE GUARAYOS,consulta externa,ninos  de 1 a 4 anos,2024-04-01,266,243,14,9,14,15,509,23,532
ATOCHA,consulta externa,ninos  de 1 a 4 anos,2024-04-01,192,196,25,28,18,24,388,53,441
AUCAPATA,consulta externa,ninos  de 1 a 4 anos,2024-04-01,45,45,0,0,11,22,90,0,90
AYATA,consulta externa,ninos  de 1 a 4 anos,2024-04-01,59,77,1,3,9,14,136,4,140
AYO AYO,consulta externa,ninos  de 1 a 4 anos,2024-04-01,100,78,23,7,0,0,178,30,208
AYOPAYA (V. DE INDEPENDENCIA),consulta externa,ninos  de 1 a 4 anos,2024-04-01,314,295,24,27,31,32,609,51,660
AZURDUY,consulta externa,ninos  de 1 a 4 anos,2024-04-01,220,187,47,55,0,0,407,102,509
BATALLAS,consulta externa,ninos  de 1 a 4 anos,2024-04-01,82,77,51,52,2,0,159,103,262
BAURES,consulta externa,ninos  de 1 a 4 anos,2024-04-01,74,51,2,1,0,0,125,3,128
BELEN DE ANDAMARCA,consulta externa,ninos  de 1 a 4 anos,2024-04-01,22,10,7,5,0,0,32,12,44
BELEN DE URMIRI,consulta externa,ninos  de 1 a 4 anos,2024-04-01,11,7,0,1,1,0,18,1,19
BELLA FLOR,consulta externa,ninos  de 1 a 4 anos,2024-04-01,56,58,9,18,0,0,114,27,141
BERMEJO,consulta externa,ninos  de 1 a 4 anos,2024-04-01,721,611,71,57,7,12,1332,128,1460
BETANZOS,consulta externa,ninos  de 1 a 4 anos,2024-04-01,276,233,13,14,0,0,509,27,536
BOLIVAR,consulta externa,ninos  de 1 a 4 anos,2024-04-01,38,41,9,5,0,0,79,14,93
BOLPEBRA,consulta externa,ninos  de 1 a 4 anos,2024-04-01,17,13,0,1,0,0,30,1,31
BOYUIBE,consulta externa,ninos  de 1 a 4 anos,2024-04-01,53,61,4,1,0,0,114,5,119
BUENA VISTA,consulta externa,ninos  de 1 a 4 anos,2024-04-01,69,69,1,2,4,1,138,3,141
CABEZAS,consulta externa,ninos  de 1 a 4 anos,2024-04-01,296,344,26,27,19,21,640,53,693
CAIROMA,consulta externa,ninos  de 1 a 4 anos,2024-04-01,136,116,0,1,20,23,252,1,253
"CAIZA ""D""",consulta externa,ninos  de 1 a 4 anos,2024-04-01,138,135,4,3,0,0,273,7,280
CAJUATA,consulta externa,ninos  de 1 a 4 anos,2024-04-01,111,139,7,13,36,50,250,20,270
CALACOTO,consulta externa,ninos  de 1 a 4 anos,2024-04-01,34,30,3,3,0,0,64,6,70
CALAMARCA,consulta externa,ninos  de 1 a 4 anos,2024-04-01,114,111,1,3,0,0,225,4,229
CAMARGO,consulta externa,ninos  de 1 a 4 anos,2024-04-01,205,162,32,25,0,0,367,57,424
CAMATAQUI (C. VILLA ABECIA),consulta externa,ninos  de 1 a 4 anos,2024-04-01,53,35,5,0,0,1,88,5,93
CAMIRI,consulta externa,ninos  de 1 a 4 anos,2024-04-01,193,206,14,24,1,1,399,38,437
CAPINOTA,consulta externa,ninos  de 1 a 4 anos,2024-04-01,378,364,58,44,0,0,742,102,844
CAQUIAVIRI,consulta externa,ninos  de 1 a 4 anos,2024-04-01,59,89,12,2,0,0,148,14,162
CARACOLLO,consulta externa,ninos  de 1 a 4 anos,2024-04-01,276,245,13,28,11,11,521,41,562
CARANAVI,consulta externa,ninos  de 1 a 4 anos,2024-04-01,707,578,132,76,6,4,1285,208,1493
CARANGAS,consulta externa,ninos  de 1 a 4 anos,2024-04-01,1,1,0,0,0,0,2,0,2
CARAPARI,consulta externa,ninos  de 1 a 4 anos,2024-04-01,292,278,26,17,7,13,570,43,613
CARIPUYO,consulta externa,ninos  de 1 a 4 anos,2024-04-01,57,45,2,2,0,0,102,4,106
CARMEN RIVERO TORREZ,consulta externa,ninos  de 1 a 4 anos,2024-04-01,56,48,2,4,9,12,104,6,110
CATACORA,consulta externa,ninos  de 1 a 4 anos,2024-04-01,18,25,2,5,0,0,43,7,50
CHACARILLA,consulta externa,ninos  de 1 a 4 anos,2024-04-01,28,19,0,0,0,0,47,0,47
CHALLAPATA,consulta externa,ninos  de 1 a 4 anos,2024-04-01,221,177,17,20,97,78,398,37,435
CHAQUI,consulta externa,ninos  de 1 a 4 anos,2024-04-01,78,73,2,4,0,0,151,6,157
CHARAGUA,consulta externa,ninos  de 1 a 4 anos,2024-04-01,548,521,69,61,0,0,1069,130,1199
CHARAÑA,consulta externa,ninos  de 1 a 4 anos,2024-04-01,34,27,4,2,0,0,61,6,67
CHAYANTA,consulta externa,ninos  de 1 a 4 anos,2024-04-01,149,143,7,9,55,44,292,16,308
CHIMORE,consulta externa,ninos  de 1 a 4 anos,2024-04-01,542,541,88,89,14,17,1083,177,1260
CHIPAYA,consulta externa,ninos  de 1 a 4 anos,2024-04-01,26,25,0,0,0,0,51,0,51
CHOQUE COTA,consulta externa,ninos  de 1 a 4 anos,2024-04-01,10,6,0,0,0,0,16,0,16
CHUA COCANI,consulta externa,ninos  de 1 a 4 anos,2024-04-01,13,10,37,29,0,0,23,66,89
CHULUMANI (V. DE LA LIBERTAD),consulta externa,ninos  de 1 a 4 anos,2024-04-01,175,156,41,25,8,9,331,66,397
CHUMA,consulta externa,ninos  de 1 a 4 anos,2024-04-01,94,94,9,5,16,14,188,14,202
CHUQUIHUTA AYLLU JUCUMANI,consulta externa,ninos  de 1 a 4 anos,2024-04-01,94,115,2,9,2,0,209,11,220
CKOCHAS,consulta externa,ninos  de 1 a 4 anos,2024-04-01,120,105,0,1,5,4,225,1,226
CLIZA,consulta externa,ninos  de 1 a 4 anos,2024-04-01,182,169,109,111,0,0,351,220,571
COBIJA,consulta externa,ninos  de 1 a 4 anos,2024-04-01,635,537,239,241,6,9,1172,480,1652
COCAPATA,consulta externa,ninos  de 1 a 4 anos,2024-04-01,368,359,13,13,23,27,727,26,753
COCHABAMBA,consulta externa,ninos  de 1 a 4 anos,2024-04-01,8662,7707,2859,2520,1016,911,16369,5379,21748
COIPASA,consulta externa,ninos  de 1 a 4 anos,2024-04-01,3,4,0,0,0,0,7,0,7
COLCAPIRHUA,consulta externa,ninos  de 1 a 4 anos,2024-04-01,409,397,161,158,0,0,806,319,1125
"COLCHA ""K""",consulta externa,ninos  de 1 a 4 anos,2024-04-01,181,151,19,19,12,7,332,38,370
COLLANA,consulta externa,ninos  de 1 a 4 anos,2024-04-01,35,22,8,11,0,0,57,19,76
COLOMI,consulta externa,ninos  de 1 a 4 anos,2024-04-01,245,245,19,20,49,42,490,39,529
COLPA BELGICA,consulta externa,ninos  de 1 a 4 anos,2024-04-01,103,94,15,26,0,1,197,41,238
COLQUECHACA,consulta externa,ninos  de 1 a 4 anos,2024-04-01,164,140,0,0,0,0,304,0,304
COLQUENCHA,consulta externa,ninos  de 1 a 4 anos,2024-04-01,111,121,24,31,0,0,232,55,287
COLQUIRI,consulta externa,ninos  de 1 a 4 anos,2024-04-01,142,151,32,17,21,19,293,49,342
COMANCHE,consulta externa,ninos  de 1 a 4 anos,2024-04-01,9,22,0,0,0,0,31,0,31
COMARAPA,consulta externa,ninos  de 1 a 4 anos,2024-04-01,221,263,13,28,8,14,484,41,525
COMBAYA,consulta externa,ninos  de 1 a 4 anos,2024-04-01,19,8,4,0,0,0,27,4,31
CONCEPCION,consulta externa,ninos  de 1 a 4 anos,2024-04-01,194,178,40,31,4,3,372,71,443
COPACABANA,consulta externa,ninos  de 1 a 4 anos,2024-04-01,57,48,2,5,0,0,105,7,112
CORIPATA,consulta externa,ninos  de 1 a 4 anos,2024-04-01,205,164,16,10,0,3,369,26,395
CORO CORO,consulta externa,ninos  de 1 a 4 anos,2024-04-01,102,92,1,2,0,0,194,3,197
COROICO,consulta externa,ninos  de 1 a 4 anos,2024-04-01,230,189,25,15,8,5,419,40,459
CORQUE,consulta externa,ninos  de 1 a 4 anos,2024-04-01,58,94,8,6,0,0,152,14,166
COTAGAITA,consulta externa,ninos  de 1 a 4 anos,2024-04-01,274,246,17,19,36,28,520,36,556
COTOCA,consulta externa,ninos  de 1 a 4 anos,2024-04-01,853,784,65,83,141,135,1637,148,1785
CRUZ DE MACHACAMARCA,consulta externa,ninos  de 1 a 4 anos,2024-04-01,3,3,0,1,0,1,6,1,7
CUATRO CAÑADAS,consulta externa,ninos  de 1 a 4 anos,2024-04-01,248,236,59,54,0,3,484,113,597
CUCHUMUELA (V. G. VILLARROEL),consulta externa,ninos  de 1 a 4 anos,2024-04-01,35,40,0,0,0,0,75,0,75
CUEVO,consulta externa,ninos  de 1 a 4 anos,2024-04-01,79,63,34,33,0,0,142,67,209
CULPINA,consulta externa,ninos  de 1 a 4 anos,2024-04-01,179,148,3,6,2,3,327,9,336
CURAHUARA DE CARANGAS,consulta externa,ninos  de 1 a 4 anos,2024-04-01,35,25,2,1,11,12,60,3,63
CURVA,consulta externa,ninos  de 1 a 4 anos,2024-04-01,35,30,2,0,1,2,65,2,67
DESAGUADERO,consulta externa,ninos  de 1 a 4 anos,2024-04-01,30,27,8,6,4,7,57,14,71
EL ALTO,consulta externa,ninos  de 1 a 4 anos,2024-04-01,8423,7629,2300,2245,717,669,16052,4545,20597
EL CHORO,consulta externa,ninos  de 1 a 4 anos,2024-04-01,37,50,1,1,1,0,87,2,89
EL PUENTE(STC),consulta externa,ninos  de 1 a 4 anos,2024-04-01,127,98,1,2,3,5,225,3,228
EL PUENTE(TJA),consulta externa,ninos  de 1 a 4 anos,2024-04-01,125,142,12,6,42,43,267,18,285
EL TORNO,consulta externa,ninos  de 1 a 4 anos,2024-04-01,959,862,415,277,0,0,1821,692,2513
EL VILLAR,consulta externa,ninos  de 1 a 4 anos,2024-04-01,90,111,3,4,0,0,201,7,208
ENTRE RIOS TRJ,consulta externa,ninos  de 1 a 4 anos,2024-04-01,332,296,8,9,0,0,628,17,645
ENTRE RIOS CBBA,consulta externa,ninos  de 1 a 4 anos,2024-04-01,780,707,45,60,0,0,1487,105,1592
ESCARA,consulta externa,ninos  de 1 a 4 anos,2024-04-01,1,7,1,0,0,0,8,1,9
ESCOMA,consulta externa,ninos  de 1 a 4 anos,2024-04-01,19,60,0,0,0,0,79,0,79
ESMERALDA,consulta externa,ninos  de 1 a 4 anos,2024-04-01,2,2,1,3,1,1,4,4,8
EUCALIPTUS,consulta externa,ninos  de 1 a 4 anos,2024-04-01,36,30,5,4,29,16,66,9,75
EUREKA (SANTOS MERCADO),consulta externa,ninos  de 1 a 4 anos,2024-04-01,6,11,0,0,0,0,17,0,17
EXALTACION,consulta externa,ninos  de 1 a 4 anos,2024-04-01,23,27,6,2,0,0,50,8,58
FERNANDEZ ALONSO,consulta externa,ninos  de 1 a 4 anos,2024-04-01,223,180,34,27,2,0,403,61,464
FILADELFIA,consulta externa,ninos  de 1 a 4 anos,2024-04-01,105,115,3,0,82,57,220,3,223
GAIOC JATUN AYLLU YURA,consulta externa,ninos  de 1 a 4 anos,2024-04-01,82,80,2,0,0,0,162,2,164
GENERAL SAAVEDRA,consulta externa,ninos  de 1 a 4 anos,2024-04-01,296,278,30,28,0,0,574,58,632
GIA-TIM,consulta externa,ninos  de 1 a 4 anos,2024-04-01,42,43,1,0,3,4,85,1,86
GRAL. J.J. PEREZ (CHARAZANI),consulta externa,ninos  de 1 a 4 anos,2024-04-01,114,98,22,17,0,0,212,39,251
GUANAY,consulta externa,ninos  de 1 a 4 anos,2024-04-01,124,135,121,108,0,0,259,229,488
GUAQUI,consulta externa,ninos  de 1 a 4 anos,2024-04-01,36,35,5,8,4,5,71,13,84
GUAYARAMERIN,consulta externa,ninos  de 1 a 4 anos,2024-04-01,466,448,50,43,81,79,914,93,1007
GUTIERREZ,consulta externa,ninos  de 1 a 4 anos,2024-04-01,211,246,3,5,0,0,457,8,465
HUACARAJE,consulta externa,ninos  de 1 a 4 anos,2024-04-01,19,23,12,13,0,0,42,25,67
HUACARETA,consulta externa,ninos  de 1 a 4 anos,2024-04-01,99,66,24,26,0,0,165,50,215
HUACAYA (VILLA DE HUACAYA),consulta externa,ninos  de 1 a 4 anos,2024-04-01,41,46,8,8,0,0,87,16,103
HUACHACALLA,consulta externa,ninos  de 1 a 4 anos,2024-04-01,7,4,4,5,3,0,11,9,20
HUANUNI,consulta externa,ninos  de 1 a 4 anos,2024-04-01,184,170,82,37,10,13,354,119,473
HUARINA,consulta externa,ninos  de 1 a 4 anos,2024-04-01,57,56,50,38,0,0,113,88,201
HUATAJATA,consulta externa,ninos  de 1 a 4 anos,2024-04-01,18,14,13,12,0,0,32,25,57
HUAYLLAMARCA,consulta externa,ninos  de 1 a 4 anos,2024-04-01,36,27,8,10,0,0,63,18,81
HUMANATA,consulta externa,ninos  de 1 a 4 anos,2024-04-01,15,16,12,31,3,4,31,43,74
ICHOCA,consulta externa,ninos  de 1 a 4 anos,2024-04-01,49,47,6,8,3,1,96,14,110
ICLA,consulta externa,ninos  de 1 a 4 anos,2024-04-01,87,91,32,26,0,0,178,58,236
INCAHUASI,consulta externa,ninos  de 1 a 4 anos,2024-04-01,227,228,4,5,18,17,455,9,464
INGAVI (HUMAITA),consulta externa,ninos  de 1 a 4 anos,2024-04-01,25,25,0,1,0,0,50,1,51
INQUISIVI,consulta externa,ninos  de 1 a 4 anos,2024-04-01,114,116,15,5,3,6,230,20,250
IRUPANA (VILLA DE LANZA),consulta externa,ninos  de 1 a 4 anos,2024-04-01,177,147,14,4,1,0,324,18,342
IXIAMAS,consulta externa,ninos  de 1 a 4 anos,2024-04-01,165,169,46,53,0,0,334,99,433
JESUS DE MACHACA,consulta externa,ninos  de 1 a 4 anos,2024-04-01,82,114,27,29,4,12,196,56,252
LA ASUNTA,consulta externa,ninos  de 1 a 4 anos,2024-04-01,484,433,32,23,210,185,917,55,972
LA GUARDIA,consulta externa,ninos  de 1 a 4 anos,2024-04-01,1221,1125,546,513,77,82,2346,1059,3405
LA PAZ,consulta externa,ninos  de 1 a 4 anos,2024-04-01,6731,6099,2128,1922,410,330,12830,4050,16880
LA RIVERA,consulta externa,ninos  de 1 a 4 anos,2024-04-01,7,9,0,0,0,0,16,0,16
LAGUNILLAS,consulta externa,ninos  de 1 a 4 anos,2024-04-01,118,102,35,36,0,0,220,71,291
LAJA,consulta externa,ninos  de 1 a 4 anos,2024-04-01,176,145,38,31,0,0,321,69,390
LAS CARRERAS,consulta externa,ninos  de 1 a 4 anos,2024-04-01,32,42,1,0,0,0,74,1,75
LICOMA PAMPA,consulta externa,ninos  de 1 a 4 anos,2024-04-01,26,39,0,0,0,0,65,0,65
LLALLAGUA,consulta externa,ninos  de 1 a 4 anos,2024-04-01,516,480,12,10,0,0,996,22,1018
LLICA,consulta externa,ninos  de 1 a 4 anos,2024-04-01,26,13,2,2,0,0,39,4,43
LORETO,consulta externa,ninos  de 1 a 4 anos,2024-04-01,43,33,13,12,8,8,76,25,101
LURIBAY,consulta externa,ninos  de 1 a 4 anos,2024-04-01,110,104,3,1,0,0,214,4,218
MACHACAMARCA,consulta externa,ninos  de 1 a 4 anos,2024-04-01,45,39,2,8,13,12,84,10,94
MACHARETI,consulta externa,ninos  de 1 a 4 anos,2024-04-01,99,105,6,3,9,16,204,9,213
MAGDALENA,consulta externa,ninos  de 1 a 4 anos,2024-04-01,63,47,12,5,55,56,110,17,127
MAIRANA,consulta externa,ninos  de 1 a 4 anos,2024-04-01,178,153,24,26,0,0,331,50,381
MALLA,consulta externa,ninos  de 1 a 4 anos,2024-04-01,35,29,0,0,0,0,64,0,64
MAPIRI,consulta externa,ninos  de 1 a 4 anos,2024-04-01,191,178,29,23,0,0,369,52,421
MECAPACA,consulta externa,ninos  de 1 a 4 anos,2024-04-01,66,85,105,49,12,5,151,154,305
MINEROS,consulta externa,ninos  de 1 a 4 anos,2024-04-01,184,180,33,28,0,0,364,61,425
MIZQUE,consulta externa,ninos  de 1 a 4 anos,2024-04-01,244,278,93,76,68,84,522,169,691
MOCOMOCO,consulta externa,ninos  de 1 a 4 anos,2024-04-01,103,99,29,14,0,0,202,43,245
MOJINETE,consulta externa,ninos  de 1 a 4 anos,2024-04-01,6,13,1,2,0,0,19,3,22
MOJOCOYA,consulta externa,ninos  de 1 a 4 anos,2024-04-01,76,62,10,13,0,0,138,23,161
MONTEAGUDO,consulta externa,ninos  de 1 a 4 anos,2024-04-01,298,293,87,90,14,10,591,177,768
MONTERO,consulta externa,ninos  de 1 a 4 anos,2024-04-01,2058,1751,378,302,426,372,3809,680,4489
MORO MORO,consulta externa,ninos  de 1 a 4 anos,2024-04-01,32,27,2,6,0,0,59,8,67
MOROCHATA,consulta externa,ninos  de 1 a 4 anos,2024-04-01,75,67,0,1,0,0,142,1,143
NACEBE (SANTA ROSA DEL ABUNA),consulta externa,ninos  de 1 a 4 anos,2024-04-01,58,40,2,0,0,0,98,2,100
NAZACARA DE PACAJES,consulta externa,ninos  de 1 a 4 anos,2024-04-01,11,4,6,4,0,0,15,10,25
NUEVO MANOA (NUEVA ESPERANZA),consulta externa,ninos  de 1 a 4 anos,2024-04-01,26,25,0,0,0,0,51,0,51
OCURI,consulta externa,ninos  de 1 a 4 anos,2024-04-01,94,104,1,7,0,0,198,8,206
OKINAWA,consulta externa,ninos  de 1 a 4 anos,2024-04-01,123,119,40,27,0,0,242,67,309
OMEREQUE,consulta externa,ninos  de 1 a 4 anos,2024-04-01,92,94,25,9,0,0,186,34,220
ORURO,consulta externa,ninos  de 1 a 4 anos,2024-04-01,3746,3225,742,729,522,489,6971,1471,8442
PADCAYA,consulta externa,ninos  de 1 a 4 anos,2024-04-01,267,237,37,22,68,70,504,59,563
PADILLA,consulta externa,ninos  de 1 a 4 anos,2024-04-01,159,144,11,8,2,0,303,19,322
PAILON,consulta externa,ninos  de 1 a 4 anos,2024-04-01,291,301,45,43,0,0,592,88,680
PALCA,consulta externa,ninos  de 1 a 4 anos,2024-04-01,261,249,3,7,52,47,510,10,520
PALOS BLANCOS,consulta externa,ninos  de 1 a 4 anos,2024-04-01,581,519,20,26,0,0,1100,46,1146
PAMPA AULLAGAS,consulta externa,ninos  de 1 a 4 anos,2024-04-01,26,9,3,0,0,0,35,3,38
PAMPA GRANDE,consulta externa,ninos  de 1 a 4 anos,2024-04-01,76,58,5,4,0,0,134,9,143
PAPEL PAMPA,consulta externa,ninos  de 1 a 4 anos,2024-04-01,48,47,4,3,0,0,95,7,102
PASORAPA,consulta externa,ninos  de 1 a 4 anos,2024-04-01,27,22,11,16,1,3,49,27,76
PATACAMAYA,consulta externa,ninos  de 1 a 4 anos,2024-04-01,220,179,40,40,0,0,399,80,479
PAZÑA,consulta externa,ninos  de 1 a 4 anos,2024-04-01,65,45,6,6,0,0,110,12,122
PELECHUCO,consulta externa,ninos  de 1 a 4 anos,2024-04-01,143,132,7,12,1,3,275,19,294
POCOATA,consulta externa,ninos  de 1 a 4 anos,2024-04-01,179,188,3,3,1,0,367,6,373
POCONA,consulta externa,ninos  de 1 a 4 anos,2024-04-01,102,101,8,12,0,0,203,20,223
POJO (CBBA),consulta externa,ninos  de 1 a 4 anos,2024-04-01,100,70,38,42,13,4,170,80,250
POOPO,consulta externa,ninos  de 1 a 4 anos,2024-04-01,88,86,14,19,2,1,174,33,207
PORCO,consulta externa,ninos  de 1 a 4 anos,2024-04-01,137,145,5,10,0,1,282,15,297
POROMA,consulta externa,ninos  de 1 a 4 anos,2024-04-01,218,161,8,9,0,2,379,17,396
PORONGO,consulta externa,ninos  de 1 a 4 anos,2024-04-01,146,119,60,59,2,0,265,119,384
PORTACHUELO,consulta externa,ninos  de 1 a 4 anos,2024-04-01,87,75,123,102,32,20,162,225,387
PORVENIR,consulta externa,ninos  de 1 a 4 anos,2024-04-01,74,51,9,8,0,0,125,17,142
POSTRER VALLE,consulta externa,ninos  de 1 a 4 anos,2024-04-01,13,14,0,1,0,0,27,1,28
POTOSI,consulta externa,ninos  de 1 a 4 anos,2024-04-01,3025,2903,298,254,384,310,5928,552,6480
PRESTO,consulta externa,ninos  de 1 a 4 anos,2024-04-01,109,116,4,2,0,0,225,6,231
PUCARA,consulta externa,ninos  de 1 a 4 anos,2024-04-01,12,14,13,3,0,0,26,16,42
PUCARANI,consulta externa,ninos  de 1 a 4 anos,2024-04-01,295,317,17,11,0,0,612,28,640
PUERTO ACOSTA,consulta externa,ninos  de 1 a 4 anos,2024-04-01,66,36,14,14,0,0,102,28,130
PUERTO CARABUCO,consulta externa,ninos  de 1 a 4 anos,2024-04-01,108,97,11,7,0,0,205,18,223
PUERTO GONZALO MORENO,consulta externa,ninos  de 1 a 4 anos,2024-04-01,143,155,39,52,27,34,298,91,389
PUERTO PEREZ,consulta externa,ninos  de 1 a 4 anos,2024-04-01,39,34,11,16,0,0,73,27,100
PUERTO QUIJARRO,consulta externa,ninos  de 1 a 4 anos,2024-04-01,155,161,9,20,21,22,316,29,345
PUERTO RICO,consulta externa,ninos  de 1 a 4 anos,2024-04-01,86,74,0,0,0,0,160,0,160
PUERTO SILES,consulta externa,ninos  de 1 a 4 anos,2024-04-01,8,28,1,4,0,0,36,5,41
PUERTO SUAREZ,consulta externa,ninos  de 1 a 4 anos,2024-04-01,132,91,35,3,126,67,223,38,261
PUERTO VILLARROEL,consulta externa,ninos  de 1 a 4 anos,2024-04-01,1336,1371,95,79,0,0,2707,174,2881
PUNA,consulta externa,ninos  de 1 a 4 anos,2024-04-01,160,155,4,1,64,64,315,5,320
PUNATA,consulta externa,ninos  de 1 a 4 anos,2024-04-01,393,378,282,285,4,4,771,567,1338
QUIABAYA,consulta externa,ninos  de 1 a 4 anos,2024-04-01,38,44,2,3,0,0,82,5,87
QUILLACOLLO,consulta externa,ninos  de 1 a 4 anos,2024-04-01,1715,1636,475,474,11,11,3351,949,4300
QUIME,consulta externa,ninos  de 1 a 4 anos,2024-04-01,108,68,4,6,0,0,176,10,186
QUIRUSILLAS,consulta externa,ninos  de 1 a 4 anos,2024-04-01,17,37,1,3,0,0,54,4,58
RAQAYPAMPA(ETA),consulta externa,ninos  de 1 a 4 anos,2024-04-01,52,64,10,7,27,23,116,17,133
RAVELO,consulta externa,ninos  de 1 a 4 anos,2024-04-01,110,116,0,0,0,0,226,0,226
REYES,consulta externa,ninos  de 1 a 4 anos,2024-04-01,133,140,9,5,0,0,273,14,287
RIBERALTA,consulta externa,ninos  de 1 a 4 anos,2024-04-01,1165,1112,63,83,234,218,2277,146,2423
ROBORE,consulta externa,ninos  de 1 a 4 anos,2024-04-01,120,140,30,24,10,13,260,54,314
RURRENABAQUE,consulta externa,ninos  de 1 a 4 anos,2024-04-01,332,309,29,21,16,12,641,50,691
SABAYA,consulta externa,ninos  de 1 a 4 anos,2024-04-01,34,23,8,10,0,1,57,18,75
SACABA,consulta externa,ninos  de 1 a 4 anos,2024-04-01,2109,2071,328,319,563,630,4180,647,4827
SACABAMBA,consulta externa,ninos  de 1 a 4 anos,2024-04-01,14,22,7,17,0,1,36,24,60
SACACA,consulta externa,ninos  de 1 a 4 anos,2024-04-01,179,126,3,2,0,0,305,5,310
SAIPINA,consulta externa,ninos  de 1 a 4 anos,2024-04-01,62,67,16,14,0,0,129,30,159
SALINAS DE GARCI MENDOZA,consulta externa,ninos  de 1 a 4 anos,2024-04-01,77,60,6,5,25,28,137,11,148
SAMAIPATA,consulta externa,ninos  de 1 a 4 anos,2024-04-01,112,78,67,61,0,0,190,128,318
SAN AGUSTIN,consulta externa,ninos  de 1 a 4 anos,2024-04-01,17,18,0,1,0,0,35,1,36
