,group,variable,month,1. NACIDOS VIVOS SERV/DOM,1. NACIDOS VIVOS SERV/DOM,TOTALES,TOTALES,TOTALES
AYATA,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,2,3,2,3,5
AYO AYO,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,0,1,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,10,10,10,10,20
AZURDUY,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,6,5,6,5,11
BATALLAS,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,6,7,6,7,13
BAURES,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,4,0,4,0,4
BERMEJO,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,46,0,46,0,46
BETANZOS,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,16,3,16,3,19
BOLIVAR,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,2,6,2,6,8
BOYUIBE,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,4,0,4,0,4
BUENA VISTA,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,1,0,1,0,1
CABEZAS,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,12,8,12,8,20
CAIROMA,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,4,4,4,4,8
"CAIZA ""D""",recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,7,2,7,2,9
CAJUATA,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,5,1,5,1,6
CALACOTO,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,1,3,1,3,4
CALAMARCA,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,5,4,5,4,9
CAMARGO,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,12,2,12,2,14
CAMATAQUI (C. VILLA ABECIA),recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,1,1,1,1,2
CAMIRI,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,5,1,5,1,6
CAPINOTA,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,15,3,15,3,18
CAQUIAVIRI,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,1,3,1,3,4
CARACOLLO,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,20,5,20,5,25
CARANAVI,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,89,1,89,1,90
CARAPARI,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,6,0,6,0,6
CARIPUYO,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,3,4,3,4,7
CARMEN RIVERO TORREZ,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,2,2,2,2,4
CHACARILLA,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,0,1,0,1,1
CHALLAPATA,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,36,13,36,13,49
CHAQUI,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,5,2,5,2,7
CHARAGUA,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,32,12,32,12,44
CHARAÑA,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,0,2,0,2,2
CHAYANTA,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,6,3,6,3,9
CHIMORE,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,31,1,31,1,32
CHIPAYA,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,0,1,0,1,1
CHUA COCANI,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,3,0,3,0,3
CHULUMANI (V. DE LA LIBERTAD),recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,20,0,20,0,20
CHUMA,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,1,4,1,4,5
CHUQUIHUTA AYLLU JUCUMANI,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,4,0,4,0,4
CKOCHAS,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,0,12,0,12,12
CLIZA,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,22,0,22,0,22
COBIJA,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,109,0,109,0,109
COCAPATA,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,9,5,9,5,14
COCHABAMBA,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,1133,6,1133,6,1139
COIPASA,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,1,0,1,0,1
COLCAPIRHUA,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,33,1,33,1,34
"COLCHA ""K""",recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,1,3,1,3,4
COLLANA,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,2,0,2,0,2
COLOMI,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,13,2,13,2,15
COLPA BELGICA,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,3,0,3,0,3
COLQUECHACA,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,7,9,7,9,16
COLQUENCHA,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,7,1,7,1,8
COLQUIRI,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,4,5,4,5,9
COMARAPA,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,21,0,21,0,21
CONCEPCION,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,21,3,21,3,24
CORIPATA,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,11,0,11,0,11
CORO CORO,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,0,6,0,6,6
COROICO,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,18,4,18,4,22
CORQUE,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,0,1,0,1,1
COTAGAITA,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,11,4,11,4,15
COTOCA,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,80,13,80,13,93
CUATRO CAÑADAS,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,24,0,24,0,24
CUEVO,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,1,0,1,0,1
CULPINA,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,13,2,13,2,15
CURAHUARA DE CARANGAS,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,1,0,1,0,1
DESAGUADERO,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,2,1,2,1,3
EL ALTO,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,1047,20,1047,20,1067
EL CHORO,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,0,1,0,1,1
EL PUENTE(STC),recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,2,0,2,0,2
EL PUENTE(TJA),recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,3,2,3,2,5
EL TORNO,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,69,0,69,0,69
EL VILLAR,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,3,0,3,0,3
ENTRE RIOS TRJ,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,9,0,9,0,9
ENTRE RIOS CBBA,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,49,1,49,1,50
ESCOMA,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,5,3,5,3,8
EUCALIPTUS,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,2,0,2,0,2
EUREKA (SANTOS MERCADO),recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,0,1,0,1,1
FERNANDEZ ALONSO,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,9,0,9,0,9
FILADELFIA,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,2,1,2,1,3
GAIOC JATUN AYLLU YURA,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,1,0,1,0,1
GENERAL SAAVEDRA,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,11,0,11,0,11
GIA-TIM,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,1,1,1,1,2
GRAL. J.J. PEREZ (CHARAZANI),recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,1,14,1,14,15
GUANAY,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,18,2,18,2,20
GUAQUI,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,8,2,8,2,10
GUAYARAMERIN,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,81,1,81,1,82
GUTIERREZ,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,9,5,9,5,14
HUACARAJE,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,3,0,3,0,3
HUACARETA,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,7,0,7,0,7
HUACAYA (VILLA DE HUACAYA),recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,2,1,2,1,3
HUANUNI,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,25,2,25,2,27
HUARINA,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,3,4,3,4,7
HUATAJATA,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,1,0,1,0,1
HUAYLLAMARCA,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,0,1,0,1,1
HUMANATA,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,0,3,0,3,3
ICHOCA,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,0,1,0,1,1
ICLA,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,3,1,3,1,4
INCAHUASI,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,8,6,8,6,14
INGAVI (HUMAITA),recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,1,1,1,1,2
INQUISIVI,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,4,10,4,10,14
IRUPANA (VILLA DE LANZA),recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,4,4,4,4,8
IXIAMAS,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,3,0,3,0,3
JESUS DE MACHACA,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,3,2,3,2,5
LA ASUNTA,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,48,4,48,4,52
LA GUARDIA,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,67,1,67,1,68
LA PAZ,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,1123,4,1123,4,1127
LA RIVERA,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,1,0,1,0,1
LAGUNILLAS,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,2,3,2,3,5
LAJA,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,7,9,7,9,16
LAS CARRERAS,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,2,0,2,0,2
LLALLAGUA,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,68,5,68,5,73
LORETO,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,0,4,0,4,4
LURIBAY,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,4,2,4,2,6
MACHARETI,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,2,0,2,0,2
MAGDALENA,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,11,3,11,3,14
MAIRANA,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,18,0,18,0,18
MALLA,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,1,0,1,0,1
MAPIRI,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,23,2,23,2,25
MECAPACA,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,0,5,0,5,5
MINEROS,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,12,0,12,0,12
MIZQUE,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,25,3,25,3,28
MOCOMOCO,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,2,6,2,6,8
MOJOCOYA,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,6,0,6,0,6
MONTEAGUDO,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,36,0,36,0,36
MONTERO,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,294,0,294,0,294
MORO MORO,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,2,0,2,0,2
MOROCHATA,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,5,2,5,2,7
NACEBE (SANTA ROSA DEL ABUNA),recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,1,0,1,0,1
OCURI,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,15,8,15,8,23
OKINAWA,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,1,0,1,0,1
OMEREQUE,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,6,0,6,0,6
ORURO,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,554,10,554,10,564
PADCAYA,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,11,2,11,2,13
PADILLA,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,8,0,8,0,8
PAILON,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,43,0,43,0,43
PALCA,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,5,13,5,13,18
PALOS BLANCOS,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,26,7,26,7,33
PAMPA AULLAGAS,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,2,1,2,1,3
PAMPA GRANDE,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,7,0,7,0,7
PAPEL PAMPA,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,0,2,0,2,2
PATACAMAYA,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,30,7,30,7,37
PAZÑA,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,3,1,3,1,4
PELECHUCO,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,3,2,3,2,5
POCOATA,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,16,18,16,18,34
POCONA,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,8,1,8,1,9
POJO (CBBA),recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,7,3,7,3,10
POOPO,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,1,0,1,0,1
PORCO,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,12,1,12,1,13
POROMA,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,4,10,4,10,14
PORONGO,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,2,0,2,0,2
PORTACHUELO,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,22,0,22,0,22
PORVENIR,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,1,0,1,0,1
POSTRER VALLE,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,2,0,2,0,2
POTOSI,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,503,7,503,7,510
PRESTO,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,0,7,0,7,7
PUCARANI,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,13,17,13,17,30
PUERTO ACOSTA,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,3,4,3,4,7
PUERTO CARABUCO,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,3,4,3,4,7
PUERTO GONZALO MORENO,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,7,0,7,0,7
PUERTO PEREZ,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,0,3,0,3,3
PUERTO QUIJARRO,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,26,0,26,0,26
PUERTO RICO,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,10,2,10,2,12
PUERTO SILES,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,1,0,1,0,1
PUERTO SUAREZ,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,31,1,31,1,32
PUERTO VILLARROEL,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,133,2,133,2,135
PUNA,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,7,2,7,2,9
PUNATA,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,77,0,77,0,77
QUIABAYA,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,1,0,1,0,1
QUILLACOLLO,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,185,3,185,3,188
QUIME,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,5,1,5,1,6
RAQAYPAMPA(ETA),recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,1,2,1,2,3
RAVELO,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,7,2,7,2,9
REYES,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,8,1,8,1,9
RIBERALTA,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,228,0,228,0,228
ROBORE,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,25,0,25,0,25
RURRENABAQUE,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,32,0,32,0,32
SABAYA,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,1,0,1,0,1
SACABA,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,225,3,225,3,228
SACABAMBA,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,1,1,1,1,2
SACACA,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,6,7,6,7,13
SAIPINA,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,1,0,1,0,1
SALINAS DE GARCI MENDOZA,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,3,0,3,0,3
SAMAIPATA,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,6,0,6,0,6
SAN AGUSTIN,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,1,2,1,2,3
SAN ANDRES,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,2,1,2,1,3
SAN ANDRES DE MACHACA,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,0,4,0,4,4
SAN ANTONIO DE ESMORUCO,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,0,1,0,1,1
SAN ANTONIO DE LOMERIO,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,1,1,1,1,2
SAN BENITO,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,6,0,6,0,6
SAN BORJA,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,59,17,59,17,76
SAN BUENA VENTURA,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,28,3,28,3,31
SAN CARLOS,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,19,1,19,1,20
SAN IGNACIO,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,23,3,23,3,26
SAN IGNACIO DE VELASCO,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,94,1,94,1,95
SAN JAVIER(BNI),recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,0,3,0,3,3
SAN JAVIER(STC),recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,23,0,23,0,23
SAN JOAQUIN,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,9,2,9,2,11
SAN JOSE DE CHIQUITOS,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,39,0,39,0,39
SAN JUAN DE YAPACANI,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,3,0,3,0,3
SAN JULIAN,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,57,0,57,0,57
SAN LORENZO(PND),recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,3,1,3,1,4
SAN LORENZO(TJA),recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,2,0,2,0,2
SAN LUCAS,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,26,10,26,10,36
SAN MATIAS,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,19,2,19,2,21
SAN MIGUEL DE VELASCO,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,17,1,17,1,18
SAN PABLO DE LIPEZ,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,0,1,0,1,1
SAN PEDRO,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,6,0,6,0,6
SAN PEDRO DE BUENA VISTA,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,11,17,11,17,28
SAN PEDRO DE CURAHUARA,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,1,1,1,1,2
SAN PEDRO DE MACHA,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,11,11,11,11,22
SAN PEDRO DE TIQUINA,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,1,0,1,0,1
SAN RAFAEL,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,8,1,8,1,9
SAN RAMON BENI,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,7,0,7,0,7
SAN RAMON SCZ,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,6,0,6,0,6
SANTA ANA,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,24,0,24,0,24
SANTA CRUZ DE LA SIERRA,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,2711,6,2711,6,2717
SANTA ROSA,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,12,1,12,1,13
SANTA ROSA DEL SARA,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,6,0,6,0,6
SANTIAGO DE CALLAPA,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,1,1,1,1,2
SANTIAGO DE HUARI,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,0,2,0,2,2
SANTIAGO DE HUATA,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,2,2,2,2,4
SANTIVAÑES,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,1,0,1,0,1
SANTUARIO DE QUILLACAS,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,2,0,2,0,2
SAPAHAQUI,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,3,2,3,2,5
SENA,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,6,0,6,0,6
SHINAOTA,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,41,2,41,2,43
SICA SICA (VILLA AROMA),recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,8,10,8,10,18
SICAYA,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,3,0,3,0,3
SIPE SIPE,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,36,6,36,6,42
SOPACHUY,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,4,0,4,0,4
SORACACHI,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,1,0,1,0,1
SORATA,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,10,4,10,4,14
SUCRE,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,345,2,345,2,347
TACOBAMBA,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,1,5,1,5,6
TACOPAYA,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,1,1,1,1,2
TAPACARI,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,5,15,5,15,20
TARABUCO,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,6,3,6,3,9
TARACO,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,3,0,3,0,3
TARATA,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,6,1,6,1,7
TARIJA,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,321,1,321,1,322
TARVITA,recien nacidos en servicio y domicilio,nacidos vivos,2024-04-01,15,2,15,2,17
