,group,variable,month,19. RN CON ALOJAMIENTO CONJUNTO SERV/DOM,19. RN CON ALOJAMIENTO CONJUNTO SERV/DOM,TOTALES,TOTALES,TOTALES
HUMANATA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,0,3,0,3,3
ICLA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,3,1,3,1,4
INCAHUASI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,8,6,8,6,14
INGAVI (HUMAITA),recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,2,0,2,0,2
INQUISIVI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,4,1,4,1,5
IRUPANA (VILLA DE LANZA),recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,4,3,4,3,7
JESUS DE MACHACA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,3,1,3,1,4
LA ASUNTA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,46,4,46,4,50
LA GUARDIA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,67,1,67,1,68
LA PAZ,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,562,1,562,1,563
LA RIVERA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,1,0,1,0,1
LAGUNILLAS,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,2,2,2,2,4
LAJA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,3,0,3,0,3
LAS CARRERAS,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,2,0,2,0,2
LLALLAGUA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,61,5,61,5,66
LORETO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,0,3,0,3,3
LURIBAY,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,3,2,3,2,5
MACHARETI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,2,0,2,0,2
MAGDALENA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,10,0,10,0,10
MAIRANA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,18,0,18,0,18
MALLA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,1,0,1,0,1
MAPIRI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,23,2,23,2,25
MECAPACA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,0,1,0,1,1
MIZQUE,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,25,3,25,3,28
MOCOMOCO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,2,3,2,3,5
MOJOCOYA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,6,0,6,0,6
MONTEAGUDO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,36,0,36,0,36
MONTERO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,29,0,29,0,29
MOROCHATA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,4,0,4,0,4
NACEBE (SANTA ROSA DEL ABUNA),recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,1,0,1,0,1
OCURI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,14,7,14,7,21
OMEREQUE,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,5,0,5,0,5
ORURO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,502,2,502,2,504
PADCAYA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,11,2,11,2,13
PADILLA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,8,0,8,0,8
PAILON,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,43,0,43,0,43
PALCA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,1,15,1,15,16
PALOS BLANCOS,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,26,7,26,7,33
PAMPA AULLAGAS,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,2,1,2,1,3
PAMPA GRANDE,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,7,0,7,0,7
PATACAMAYA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,30,6,30,6,36
PAZÑA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,3,1,3,1,4
POCOATA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,16,16,16,16,32
POCONA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,8,0,8,0,8
POJO (CBBA),recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,7,1,7,1,8
POOPO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,1,0,1,0,1
PORCO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,11,1,11,1,12
POROMA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,4,10,4,10,14
PORTACHUELO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,22,0,22,0,22
PORVENIR,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,1,0,1,0,1
POTOSI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,445,5,445,5,450
PUCARANI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,13,10,13,10,23
PUERTO ACOSTA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,3,4,3,4,7
PUERTO CARABUCO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,3,4,3,4,7
PUERTO GONZALO MORENO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,7,0,7,0,7
PUERTO PEREZ,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,0,1,0,1,1
PUERTO QUIJARRO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,28,0,28,0,28
PUERTO RICO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,10,2,10,2,12
PUERTO SUAREZ,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,30,0,30,0,30
PUERTO VILLARROEL,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,124,0,124,0,124
PUNA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,7,2,7,2,9
PUNATA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,49,0,49,0,49
QUIABAYA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,1,0,1,0,1
QUILLACOLLO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,178,0,178,0,178
QUIME,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,5,1,5,1,6
RAQAYPAMPA(ETA),recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,1,2,1,2,3
RAVELO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,6,2,6,2,8
REYES,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,8,0,8,0,8
RIBERALTA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,225,0,225,0,225
ROBORE,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,25,0,25,0,25
RURRENABAQUE,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,32,0,32,0,32
SABAYA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,1,0,1,0,1
SACABA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,221,2,221,2,223
SACABAMBA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,1,1,1,1,2
SACACA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,6,5,6,5,11
SAIPINA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,1,0,1,0,1
SALINAS DE GARCI MENDOZA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,2,0,2,0,2
SAMAIPATA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,4,0,4,0,4
SAN AGUSTIN,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,1,2,1,2,3
SAN ANDRES,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,2,0,2,0,2
SAN ANDRES DE MACHACA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,0,2,0,2,2
SAN ANTONIO DE ESMORUCO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,0,1,0,1,1
SAN ANTONIO DE LOMERIO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,1,1,1,1,2
SAN BORJA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,57,14,57,14,71
SAN BUENA VENTURA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,28,3,28,3,31
SAN CARLOS,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,4,0,4,0,4
SAN IGNACIO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,23,2,23,2,25
SAN IGNACIO DE VELASCO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,44,0,44,0,44
SAN JAVIER(STC),recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,23,0,23,0,23
SAN JOSE DE CHIQUITOS,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,39,0,39,0,39
SAN JULIAN,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,57,0,57,0,57
SAN LORENZO(PND),recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,3,1,3,1,4
SAN LUCAS,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,26,10,26,10,36
SAN MATIAS,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,18,1,18,1,19
SAN MIGUEL DE VELASCO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,17,1,17,1,18
SAN PABLO DE LIPEZ,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,0,1,0,1,1
SAN PEDRO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,5,0,5,0,5
SAN PEDRO DE BUENA VISTA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,11,13,11,13,24
SAN PEDRO DE CURAHUARA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,1,1,1,1,2
SAN PEDRO DE MACHA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,11,11,11,11,22
SAN PEDRO DE TIQUINA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,1,0,1,0,1
SAN RAMON BENI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,7,0,7,0,7
SAN RAMON SCZ,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,6,0,6,0,6
SANTA ANA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,24,0,24,0,24
SANTA CRUZ DE LA SIERRA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,1932,1,1932,1,1933
SANTA ROSA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,12,1,12,1,13
SANTA ROSA DEL SARA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,5,0,5,0,5
SANTIAGO DE CALLAPA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,1,0,1,0,1
SANTIAGO DE HUARI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,0,2,0,2,2
SANTIAGO DE HUATA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,2,0,2,0,2
SANTIVAÑES,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,1,0,1,0,1
SANTUARIO DE QUILLACAS,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,2,0,2,0,2
SAPAHAQUI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,2,2,2,2,4
SENA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,6,0,6,0,6
SHINAOTA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,34,0,34,0,34
SICA SICA (VILLA AROMA),recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,6,3,6,3,9
SICAYA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,2,0,2,0,2
SIPE SIPE,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,36,0,36,0,36
SOPACHUY,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,4,0,4,0,4
SORACACHI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,1,0,1,0,1
SORATA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,10,1,10,1,11
SUCRE,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,333,0,333,0,333
TACOBAMBA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,1,4,1,4,5
TACOPAYA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,0,1,0,1,1
TAPACARI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,3,7,3,7,10
TARABUCO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,6,3,6,3,9
TARACO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,3,0,3,0,3
TARATA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,6,1,6,1,7
TARIJA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,316,1,316,1,317
TARVITA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,15,1,15,1,16
TEOPONTE,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,8,1,8,1,9
TIAHUANACU,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,1,1,1,1,2
TINGUIPAYA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,1,0,1,0,1
TIPUANI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,5,0,5,0,5
TIQUIPAYA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,52,4,52,4,56
TOCO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,1,0,1,0,1
TOLATA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,2,0,2,0,2
TOLEDO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,2,1,2,1,3
TOMAVE,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,3,0,3,0,3
TOMINA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,0,1,0,1,1
TORO TORO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,2,4,2,4,6
TOTORA(CBBA),recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,18,1,18,1,19
TOTORA(ORR),recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,2,0,2,0,2
TRINIDAD,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,190,2,190,2,192
TUPIZA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,49,5,49,5,54
UMALA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,0,1,0,1,1
UNCIA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,22,1,22,1,23
URIONDO (A. CONCEPCION),recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,1,0,1,0,1
URUBICHA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,6,0,6,0,6
UYUNI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,30,4,30,4,34
VALLEGRANDE,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,29,0,29,0,29
VIACHA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,64,5,64,5,69
VILA VILA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,4,1,4,1,5
VILLA CHARCAS,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,13,3,13,3,16
VILLA MONTES,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,50,1,50,1,51
VILLA NUEVA (LOMA ALTA),recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,1,0,1,0,1
VILLA SERRANO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,4,1,4,1,5
VILLA TUNARI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,134,3,134,3,137
VILLA VACA GUZMAN (MUYUPAMPA),recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,7,0,7,0,7
VILLAZON,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,38,0,38,0,38
VINTO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,52,0,52,0,52
VITICHI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,1,3,1,3,4
WALDO BALLIVIAN,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,0,2,0,2,2
WARNES,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,104,0,104,0,104
YACO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,1,5,1,5,6
YACUIBA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,120,1,120,1,121
YAMPARAEZ,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,3,0,3,0,3
YANACACHI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,1,0,1,0,1
YAPACANI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,68,0,68,0,68
YOCALLA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,0,1,0,1,1
YOTALA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,1,0,1,0,1
YUNCHARA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,1,2,1,2,3
ZUDAÑEZ,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-04-01,6,1,6,1,7
ACACIO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-05-01,0,2,0,2,2
ACHACACHI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-05-01,34,11,34,11,45
AIQUILE,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-05-01,18,0,18,0,18
ALALAY,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-05-01,0,2,0,2,2
ALTO BENI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-05-01,6,0,6,0,6
ANCORAIMES,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-05-01,3,2,3,2,5
ANDAMARCA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-05-01,1,1,1,1,2
ANZALDO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-05-01,1,0,1,0,1
ARAMPAMPA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-05-01,1,2,1,2,3
ARANI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-05-01,5,0,5,0,5
ARQUE,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-05-01,3,1,3,1,4
ASCENCION DE GUARAYOS,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-05-01,46,0,46,0,46
ATOCHA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-05-01,5,0,5,0,5
AYO AYO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-05-01,4,5,4,5,9
AYOPAYA (V. DE INDEPENDENCIA),recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-05-01,15,3,15,3,18
AZURDUY,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-05-01,6,4,6,4,10
BATALLAS,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-05-01,1,4,1,4,5
BAURES,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-05-01,3,0,3,0,3
BERMEJO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-05-01,27,0,27,0,27
BETANZOS,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-05-01,6,0,6,0,6
BOLIVAR,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-05-01,1,1,1,1,2
BOYUIBE,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-05-01,3,0,3,0,3
BUENA VISTA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-05-01,2,1,2,1,3
