municipality,group,variable,month,Total Días camas disponibles otros servicios,TOTAL
CUATRO CAÑADAS,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,1076,1076
CUCHUMUELA (V. G. VILLARROEL),internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,31,31
CUEVO,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,217,217
CULPINA,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,465,465
CURAHUARA DE CARANGAS,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,248,248
EL ALTO,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,18388,18388
EL PUENTE(STC),internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,186,186
EL TORNO,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,2914,2914
EL VILLAR,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,248,248
ENTRE RIOS TRJ,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,496,496
ENTRE RIOS CBBA,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,93,93
ESCOMA,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,186,186
EUCALIPTUS,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,155,155
EXALTACION,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,31,31
FILADELFIA,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,186,186
GENERAL SAAVEDRA,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,248,248
GUANAY,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,124,124
GUAYARAMERIN,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,2790,2790
GUTIERREZ,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,640,640
HUACARETA,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,554,554
HUACAYA (VILLA DE HUACAYA),internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,149,149
HUANUNI,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,1178,1178
HUARACAJE,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,62,62
HUAYLLAMARCA,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,31,31
ICLA,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,369,369
INCAHUASI,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,246,246
IRUPANA (VILLA DE LANZA),internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,372,372
IXIAMAS,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,186,186
LA ASUNTA,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,31,31
LA GUARDIA,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,1891,1891
LA PAZ,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,64376,64376
LAGUNILLAS,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,186,186
LAS CARRERAS,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,121,121
LICOMA PAMPA,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,30,30
LLALLAGUA,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,1085,1085
LLICA,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,62,62
MACHACAMARCA,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,93,93
MACHARETI,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,341,341
MAGDALENA,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,248,248
MAIRANA,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,155,155
MAPIRI,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,62,62
MIZQUE,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,868,868
MOJOCOYA,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,332,332
MONTEAGUDO,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,558,558
MONTERO,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,4178,4178
MORO MORO,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,91,91
MOROCHATA,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,217,217
NACEBE (SANTA ROSA DEL ABUNA),internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,60,60
OCURI,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,372,372
OMEREQUE,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,93,93
ORURO,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,17052,17052
PADILLA,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,589,589
PAILON,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,354,354
PALOS BLANCOS,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,310,310
PAMPA GRANDE,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,90,90
PAPEL PAMPA,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,31,31
PATACAMAYA,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,180,180
POCOATA,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,124,124
POCONA,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,217,217
POJO (CBBA),internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,279,279
POOPO,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,93,93
POROMA,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,682,682
PORONGO,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,249,249
PORTACHUELO,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,1054,1054
PORVENIR,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,140,140
POTOSI,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,10912,10912
PRESTO,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,240,240
PUCARANI,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,186,186
PUERTO QUIJARRO,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,216,216
PUERTO RICO,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,366,366
PUERTO SUAREZ,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,1085,1085
PUERTO VILLARROEL,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,1612,1612
PUNA,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,184,184
PUNATA,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,1581,1581
QUILLACOLLO,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,1008,1008
RAVELO,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,62,62
REYES,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,186,186
RIBERALTA,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,2945,2945
ROBORE,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,1684,1684
RURRENABAQUE,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,651,651
SACABA,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,1643,1643
SACABAMBA,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,186,186
SACACA,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,310,310
SAIPINA,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,144,144
SAMAIPATA,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,93,93
SAN ANTONIO DE LOMERIO,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,106,106
SAN BENITO,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,62,62
SAN BORJA,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,744,744
SAN BUENA VENTURA,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,217,217
SAN IGNACIO,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,806,806
SAN IGNACIO DE VELASCO,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,2418,2418
SAN JAVIER(STC),internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,192,192
SAN JOAQUIN,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,124,124
SAN JOSE DE CHIQUITOS,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,1209,1209
SAN JUAN DE YAPACANI,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,616,616
SAN JULIAN,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,890,890
SAN LORENZO(PND),internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,93,93
SAN LUCAS,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,961,961
SAN MATIAS,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,683,683
SAN MIGUEL DE VELASCO,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,217,217
SAN PEDRO,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,31,31
SAN PEDRO DE BUENA VISTA,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,155,155
SAN RAFAEL,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,248,248
SAN RAMON BENI,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,217,217
SAN RAMON SCZ,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,310,310
SANTA ANA,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,434,434
SANTA CRUZ DE LA SIERRA,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,49031,49031
SANTA ROSA,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,372,372
SANTA ROSA DEL SARA,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,186,186
SANTIAGO DE MACHACA,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,62,62
SANTIVAÑES,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,60,60
SANTUARIO DE QUILLACAS,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,186,186
SENA,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,173,173
SHINAOTA,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,695,695
SICAYA,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,62,62
SOPACHUY,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,961,961
SORACACHI,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,62,62
SORATA,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,248,248
SUCRE,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,35610,35610
TACOPAYA,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,155,155
TAPACARI,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,124,124
TARABUCO,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,682,682
TARATA,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,125,125
TARIJA,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,13736,13736
TARVITA,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,465,465
TIPUANI,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,120,120
TIQUIPAYA,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,744,744
TIRAQUE (CBBA),internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,93,93
TOCO,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,93,93
TOLATA,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,62,62
TOMINA,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,527,527
TORO TORO,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,217,217
TOTORA(CBBA),internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,775,775
TRINIDAD,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,4203,4203
TUPIZA,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,2852,2852
