municipality,group,variable,month,Controles nuevos en niños de 2 años a < de 5 a NUEVO,TOTAL-NUEVO,TOTAL-REPETIDO,TOTAL
YOCALLA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-03-01,0,0,1,1
YOTALA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-03-01,82,82,71,153
YUNCHARA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-03-01,6,6,7,13
ZUDAÑEZ,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-03-01,7,7,5,12
ACHACACHI,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,18,18,23,41
ACHOCALLA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,1,1,1,2
AIQUILE,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,15,15,19,34
ALALAY,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,0,0,3,3
ANCORAIMES,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,1,1,6,7
ANDAMARCA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,6,6,2,8
ANTEQUERA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,3,3,1,4
ANZALDO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,22,22,21,43
APOLO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,17,17,12,29
ARAMPAMPA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,0,0,1,1
ARANI,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,19,19,16,35
ARBIETO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,25,25,27,52
ARQUE,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,0,0,1,1
ASCENCION DE GUARAYOS,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,3,3,10,13
AUCAPATA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,10,10,12,22
AYATA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,9,9,8,17
AYO AYO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,3,3,0,3
AYOPAYA (V. DE INDEPENDENCIA),nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,51,51,29,80
AZURDUY,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,8,8,14,22
BATALLAS,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,7,7,2,9
BAURES,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,1,1,2,3
BELEN DE ANDAMARCA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,2,2,1,3
BERMEJO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,11,11,11,22
BETANZOS,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,1,1,1,2
BOLIVAR,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,3,3,2,5
BOLPEBRA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,3,3,4,7
BOYUIBE,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,3,3,8,11
BUENA VISTA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,1,1,0,1
CABEZAS,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,12,12,13,25
CAIROMA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,7,7,7,14
"CAIZA ""D""",nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,7,7,6,13
CAJUATA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,27,27,17,44
CALACOTO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,10,10,7,17
CALAMARCA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,9,9,8,17
CAMARGO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,7,7,8,15
CAMATAQUI (C. VILLA ABECIA),nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,0,0,3,3
CAMIRI,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,48,48,62,110
CAPINOTA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,0,0,2,2
CARACOLLO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,0,0,4,4
CARANAVI,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,12,12,16,28
CARAPARI,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,26,26,9,35
CARIPUYO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,0,0,1,1
CARMEN RIVERO TORREZ,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,7,7,2,9
CHACARILLA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,0,0,1,1
CHALLAPATA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,3,3,1,4
CHAQUI,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,1,1,0,1
CHARAGUA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,7,7,8,15
CHAYANTA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,4,4,6,10
CHIMORE,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,14,14,22,36
CHIPAYA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,2,2,1,3
CHULUMANI (V. DE LA LIBERTAD),nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,9,9,12,21
CHUMA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,3,3,8,11
CLIZA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,7,7,11,18
COBIJA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,13,13,14,27
COCHABAMBA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,935,935,768,1703
COLCAPIRHUA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,270,270,268,538
COLOMI,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,63,63,67,130
COLPA BELGICA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,6,6,3,9
COLQUECHACA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,46,46,57,103
COLQUENCHA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,22,22,14,36
COLQUIRI,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,1,1,0,1
CONCEPCION,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,2,2,0,2
COPACABANA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,11,11,15,26
CORIPATA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,6,6,4,10
CORO CORO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,3,3,1,4
COROICO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,61,61,60,121
CORQUE,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,21,21,28,49
COTAGAITA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,18,18,10,28
CUATRO CAÑADAS,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,31,31,22,53
CULPINA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,24,24,16,40
CURAHUARA DE CARANGAS,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,2,2,4,6
DESAGUADERO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,2,2,5,7
EL ALTO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,1347,1347,1223,2570
EL CHORO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,0,0,1,1
EL PUENTE(STC),nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,90,90,91,181
EL PUENTE(TJA),nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,2,2,0,2
EL TORNO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,2,2,1,3
ENTRE RIOS,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,1,1,2,3
ENTRE RIOS,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,128,128,111,239
EUCALIPTUS,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,4,4,0,4
EUREKA (SANTOS MERCADO),nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,4,4,5,9
FERNANDEZ ALONSO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,16,16,18,34
FILADELFIA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,0,0,1,1
GENERAL SAAVEDRA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,75,75,66,141
GRAL. J.J. PEREZ (CHARAZANI),nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,0,0,8,8
GUANAY,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,23,23,28,51
GUAQUI,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,1,1,0,1
GUAYARAMERIN,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,12,12,10,22
GUTIERREZ,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,17,17,28,45
HUACARETA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,18,18,22,40
HUACAYA (VILLA DE HUACAYA),nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,9,9,3,12
HUACHACALLA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,1,1,0,1
HUANUNI,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,13,13,18,31
ICHOCA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,16,16,17,33
ICLA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,18,18,11,29
INCAHUASI,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,40,40,53,93
INGAVI (HUMAITA),nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,0,0,1,1
INQUISIVI,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,22,22,40,62
IRUPANA (VILLA DE LANZA),nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,20,20,13,33
IXIAMAS,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,7,7,7,14
JESUS DE MACHACA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,13,13,14,27
LA ASUNTA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,15,15,7,22
LA GUARDIA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,56,56,55,111
LA PAZ,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,939,939,948,1887
LAGUNILLAS,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,6,6,3,9
LAJA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,3,3,3,6
LAS CARRERAS,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,3,3,3,6
LLALLAGUA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,191,191,172,363
LLICA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,3,3,1,4
LORETO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,18,18,14,32
LURIBAY,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,1,1,1,2
MACHACAMARCA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,3,3,5,8
MACHARETI,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,10,10,5,15
MAPIRI,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,3,3,2,5
MECAPACA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,12,12,7,19
MINEROS,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,37,37,38,75
MIZQUE,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,48,48,100,148
MOCOMOCO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,4,4,4,8
MOJINETE,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,2,2,2,4
MOJOCOYA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,3,3,3,6
MONTEAGUDO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,70,70,67,137
MONTERO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,60,60,40,100
MORO MORO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,1,1,1,2
MOROCHATA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,100,100,99,199
OKINAWA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,34,34,28,62
OMEREQUE,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,1,1,1,2
ORURO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,234,234,235,469
PADCAYA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,33,33,35,68
PADILLA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,4,4,3,7
PALCA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,7,7,8,15
PALOS BLANCOS,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,5,5,6,11
PAPEL PAMPA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,1,1,0,1
PASORAPA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,2,2,3,5
PATACAMAYA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,3,3,6,9
PAZÑA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,0,0,1,1
PELECHUCO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,15,15,9,24
POCOATA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,4,4,6,10
POCONA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,24,24,22,46
POJO (CBBA),nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,11,11,8,19
POOPO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,2,2,1,3
POROMA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,46,46,50,96
PORONGO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,15,15,15,30
PORTACHUELO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,91,91,59,150
PORVENIR,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,0,0,1,1
POSTRER VALLE,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,2,2,0,2
POTOSI,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,178,178,190,368
PUCARA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,0,0,1,1
PUCARANI,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,6,6,6,12
PUERTO ACOSTA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,2,2,4,6
PUERTO CARABUCO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,3,3,3,6
PUERTO PEREZ,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,1,1,2,3
PUERTO QUIJARRO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,0,0,3,3
PUERTO RICO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,3,3,4,7
PUERTO SILES,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,4,4,1,5
PUERTO VILLARROEL,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,76,76,76,152
PUNA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,42,42,39,81
PUNATA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,112,112,110,222
QUIABAYA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,0,0,1,1
QUILLACOLLO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,260,260,253,513
QUIME,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,4,4,2,6
REYES,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,0,0,1,1
RIBERALTA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,35,35,40,75
ROBORE,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,10,10,7,17
RURRENABAQUE,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,8,8,7,15
SABAYA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,7,7,10,17
SACABA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,254,254,224,478
SACABAMBA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,9,9,13,22
SACACA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,21,21,14,35
SAIPINA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,1,1,1,2
SALINAS DE GARCI MENDOZA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,4,4,1,5
SAN ANDRES,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,12,12,17,29
SAN ANDRES DE MACHACA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,14,14,4,18
SAN ANTONIO DE ESMORUCO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,6,6,2,8
SAN BENITO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,47,47,26,73
SAN BORJA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,8,8,5,13
SAN BUENA VENTURA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,5,5,7,12
SAN CARLOS,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-04-01,0,0,3,3
