municipality,group,variable,month,10. Días camas disponibles otros servicios,TOTAL
GAIOC JATUN AYLLU YURA,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,150,150
GUANAY,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,186,186
GUAQUI,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,31,31
GUAYARAMERIN,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,1736,1736
GUTIERREZ,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,372,372
HUACARAJE,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,62,62
HUACARETA,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,803,803
HUACAYA (VILLA DE HUACAYA),internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,279,279
HUACHACALLA,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,93,93
HUANUNI,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,1736,1736
HUARINA,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,155,155
HUATAJATA,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,120,120
ICLA,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,496,496
INCAHUASI,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,403,403
IXIAMAS,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,153,153
JESUS DE MACHACA,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,586,586
LA ASUNTA,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,31,31
LA GUARDIA,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,2527,2527
LA PAZ,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,80164,80164
LAGUNILLAS,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,3,3
LAS CARRERAS,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,341,341
LLALLAGUA,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,1085,1085
LLICA,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,30,30
LORETO,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,23,23
LURIBAY,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,184,184
MACHACAMARCA,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,62,62
MACHARETI,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,434,434
MAGDALENA,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,254,254
MAIRANA,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,155,155
MAPIRI,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,62,62
MINEROS,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,574,574
MIZQUE,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,775,775
MOCOMOCO,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,113,113
MOJOCOYA,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,310,310
MONTEAGUDO,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,1914,1914
MONTERO,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,9382,9382
MOROCHATA,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,92,92
NAZACARA DE PACAJES,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,31,31
OCURI,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,1333,1333
OKINAWA,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,372,372
OMEREQUE,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,186,186
ORURO,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,29145,29145
PADILLA,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,589,589
PAILON,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,199,199
PALCA,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,90,90
PALOS BLANCOS,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,310,310
PAMPA AULLAGAS,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,93,93
PAMPA GRANDE,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,62,62
PASORAPA,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,186,186
PATACAMAYA,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,126,126
PAZÑA,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,32,32
POCOATA,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,713,713
POCONA,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,310,310
POJO (CBBA),internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,309,309
POOPO,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,93,93
PORCO,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,62,62
POROMA,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,954,954
PORONGO,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,390,390
PORTACHUELO,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,2469,2469
PORVENIR,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,120,120
POTOSI,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,20088,20088
PRESTO,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,527,527
PUCARANI,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,465,465
PUERTO ACOSTA,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,30,30
PUERTO CARABUCO,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,31,31
PUERTO GONZALO MORENO,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,101,101
PUERTO QUIJARRO,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,810,810
PUERTO RICO,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,261,261
PUERTO SUAREZ,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,126,126
PUERTO VILLARROEL,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,2480,2480
PUNA,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,558,558
PUNATA,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,2630,2630
QUILLACOLLO,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,3489,3489
QUIRUSILLAS,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,62,62
RAQAYPAMPA(ETA),internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,186,186
RAVELO,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,465,465
REYES,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,186,186
RIBERALTA,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,4610,4610
ROBORE,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,1366,1366
RURRENABAQUE,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,620,620
SABAYA,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,124,124
SACABA,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,4762,4762
SACABAMBA,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,90,90
SACACA,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,403,403
SAIPINA,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,270,270
SALINAS DE GARCI MENDOZA,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,341,341
SAMAIPATA,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,93,93
SAN ANTONIO DE LOMERIO,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,109,109
SAN BORJA,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,705,705
SAN BUENA VENTURA,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,31,31
SAN CARLOS,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,31,31
SAN IGNACIO,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,664,664
SAN IGNACIO DE VELASCO,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,2759,2759
SAN JAVIER(BNI),internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,30,30
SAN JAVIER(STC),internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,341,341
SAN JOAQUIN,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,248,248
SAN JOSE DE CHIQUITOS,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,662,662
SAN JUAN DE YAPACANI,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,6,6
SAN JULIAN,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,2588,2588
SAN LUCAS,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,1238,1238
SAN MATIAS,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,682,682
SAN MIGUEL DE VELASCO,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,310,310
SAN PEDRO,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,314,314
SAN PEDRO DE BUENA VISTA,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,155,155
SAN PEDRO DE MACHA,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,434,434
SAN PEDRO DE TIQUINA,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,155,155
SAN RAFAEL,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,186,186
SAN RAMON BENI,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,372,372
SAN RAMON SCZ,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,310,310
SANTA ANA,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,651,651
SANTA CRUZ DE LA SIERRA,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,52187,52187
SANTA ROSA,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,403,403
SANTA ROSA DEL SARA,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,251,251
SANTIVAÑES,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,279,279
SANTUARIO DE QUILLACAS,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,153,153
SHINAOTA,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,1116,1116
SICA SICA (VILLA AROMA),internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,62,62
SOPACHUY,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,403,403
SORACACHI,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,31,31
SORATA,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,310,310
SUCRE,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,37907,37907
TACACOMA,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,1,1
TACOBAMBA,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,124,124
TACOPAYA,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,341,341
TAPACARI,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,31,31
TARABUCO,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,682,682
TARATA,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,124,124
TARIJA,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,18327,18327
TARVITA,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,868,868
TEOPONTE,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,60,60
TIPUANI,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,124,124
TIQUIPAYA,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,1149,1149
TIRAQUE (CBBA),internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,93,93
TOCO,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,186,186
TOLATA,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,60,60
TOLEDO,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,93,93
TOMINA,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,558,558
TORO TORO,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,310,310
TOTORA(CBBA),internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,899,899
TOTORA(ORR),internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,155,155
TRINIDAD,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,5606,5606
TUPIZA,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,2211,2211
UNCIA,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,62,62
UYUNI,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,1240,1240
VACAS,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,122,122
VALLEGRANDE,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,1263,1263
VIACHA,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,1211,1211
VILA VILA,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,124,124
VILLA CHARCAS,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,403,403
VILLA MONTES,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,1553,1553
VILLA RIVERO,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,62,62
VILLA SERRANO,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,372,372
VILLA TUNARI,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,4320,4320
VILLA VACA GUZMAN (MUYUPAMPA),internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,155,155
VILLAZON,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,1550,1550
VINTO,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,1612,1612
VITICHI,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,62,62
WARNES,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,1758,1758
